날짜,캠페인,노출,클릭,CTR,평균CPC,비용,전환,전환값,CPA,ROAS,GA4 거래수,GA4 매출,기준선 대비
2026-09-22,브랜드 방어,2,0,0.00%,,0,0,0,,,13,1355820,-8.7%
2026-09-22,붓기,667,9,1.35%,1754,15785,0,0,,0.00,,,
2026-09-22,칼륨,10,0,0.00%,,0,0,0,,,,,
2026-09-23,브랜드 방어,5,1,20.00%,889,889,0,0,,0.00,3,236300,-84.1%
2026-09-23,붓기,653,8,1.23%,1578,12626,0,0,,0.00,,,
2026-09-23,칼륨,32,0,0.00%,,0,0,0,,,,,

누적,,1369,18,1.31%,1628,29300,0,0,,0.00,,,

광고 전 기준선,"일 거래 15.8건 / 일 매출 1,485,612원 (GA4 09-09~09-20 평균)"
갱신,매일 09:30 KST 자동. 이 시트는 GitHub 의 CSV 를 IMPORTDATA 로 당겨옵니다.
